id,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
1,22,female,Master,71948,0,RENT,35000,PERSONAL,16.02,0.49,3,561,No,1
2,21,female,High School,12282,0,OWN,1000,EDUCATION,11.14,0.08,2,504,Yes,0
3,25,female,High School,12438,3,MORTGAGE,5500,MEDICAL,12.87,0.44,3,635,No,1
4,23,female,Bachelor,79753,0,RENT,35000,MEDICAL,15.23,0.44,2,675,No,1
5,24,male,Master,66135,1,RENT,35000,MEDICAL,14.27,0.53,4,586,No,1
6,21,female,High School,12951,0,OWN,2500,VENTURE,7.14,0.19,2,532,No,1
7,26,female,Bachelor,93471,1,RENT,35000,EDUCATION,12.42,0.37,3,701,No,1
8,24,female,High School,95550,5,RENT,35000,MEDICAL,11.11,0.37,4,585,No,1
9,24,female,Associate,100684,3,RENT,35000,PERSONAL,8.9,0.35,2,544,No,1
10,21,female,High School,12739,0,OWN,1600,VENTURE,14.74,0.13,3,640,No,1
11,22,female,High School,102985,0,RENT,35000,VENTURE,10.37,0.34,4,621,No,1
12,21,female,Associate,13113,0,OWN,4500,HOMEIMPROVEMENT,8.63,0.34,2,651,No,1
13,23,male,Bachelor,114860,3,RENT,35000,VENTURE,7.9,0.3,2,573,No,1
14,26,male,Master,130713,0,RENT,35000,EDUCATION,18.39,0.27,4,708,No,1
15,23,female,Associate,138998,0,RENT,35000,EDUCATION,7.9,0.25,4,583,No,0
16,23,female,Master,600891,5,MORTGAGE,30000,DEBTCONSOLIDATION,10.65,0.05,3,670,Yes,0
17,23,male,Bachelor,144943,0,RENT,35000,EDUCATION,7.9,0.24,4,663,No,0
18,23,female,High School,111369,0,RENT,35000,MEDICAL,20,0.31,4,694,No,1
19,23,male,Bachelor,136628,0,RENT,35000,DEBTCONSOLIDATION,18.25,0.26,4,709,No,1
20,24,female,Master,14283,1,MORTGAGE,1750,EDUCATION,10.99,0.12,2,679,No,1
21,25,male,Bachelor,195718,0,RENT,35000,VENTURE,7.49,0.18,4,684,Yes,0
22,25,male,High School,165792,4,RENT,34800,PERSONAL,16.77,0.21,2,662,No,0
23,22,female,Master,79255,0,RENT,34000,EDUCATION,17.58,0.43,4,691,No,1
24,24,female,Bachelor,13866,0,OWN,1500,PERSONAL,7.29,0.11,3,600,Yes,0
25,22,male,Bachelor,97420,1,RENT,33950,PERSONAL,14.54,0.35,4,691,No,1
26,24,female,High School,82443,0,RENT,33000,HOMEIMPROVEMENT,12.68,0.4,3,654,No,1
27,21,female,Associate,14288,0,MORTGAGE,4575,VENTURE,17.74,0.32,3,626,No,1
28,23,male,High School,14293,0,OWN,1400,PERSONAL,9.32,0.1,3,607,No,0
29,24,female,Bachelor,79054,1,RENT,32500,HOMEIMPROVEMENT,9.99,0.41,3,700,No,1
30,21,female,Bachelor,14988,0,OTHER,4000,EDUCATION,12.84,0.27,2,553,No,1
31,21,male,High School,14858,0,OWN,2000,MEDICAL,11.12,0.13,3,589,No,1
32,25,male,Bachelor,144855,1,RENT,32000,VENTURE,6.62,0.22,2,586,Yes,0
33,26,male,Bachelor,114645,2,RENT,31050,HOMEIMPROVEMENT,14.17,0.27,3,681,No,1
34,25,female,High School,368115,3,RENT,24250,DEBTCONSOLIDATION,13.85,0.07,3,567,Yes,0
35,26,female,Associate,361076,1,MORTGAGE,7800,MEDICAL,13.49,0.02,4,669,No,0
36,21,male,Associate,15150,0,OWN,2500,EDUCATION,7.51,0.17,4,600,No,1
37,22,female,Bachelor,58868,0,RENT,30000,EDUCATION,18.39,0.51,2,606,No,1
38,24,male,High School,78026,3,RENT,30000,DEBTCONSOLIDATION,14.54,0.38,3,582,No,1
39,25,male,Bachelor,90785,4,RENT,30000,HOMEIMPROVEMENT,16.89,0.33,4,649,No,1
40,23,female,High School,86811,0,RENT,30000,DEBTCONSOLIDATION,11.01,0.35,4,602,No,1
41,26,male,Bachelor,75503,5,RENT,30000,MEDICAL,17.99,0.4,2,616,No,1
42,24,female,High School,15082,0,OWN,2500,VENTURE,12.69,0.17,3,631,No,1
43,26,male,Bachelor,361293,5,MORTGAGE,20000,VENTURE,7.88,0.06,4,684,Yes,0
44,23,male,High School,361547,0,OWN,24250,EDUCATION,19.41,0.07,2,637,Yes,0
45,26,male,Master,360680,5,OWN,10000,HOMEIMPROVEMENT,10.38,0.03,4,649,No,0
46,26,male,Bachelor,360977,5,MORTGAGE,25000,EDUCATION,15.33,0.07,3,695,Yes,0
47,25,female,Bachelor,361244,2,MORTGAGE,18000,HOMEIMPROVEMENT,16.45,0.05,3,620,No,0
48,26,male,Bachelor,98230,2,RENT,30000,PERSONAL,7.49,0.31,3,622,No,1
49,22,female,High School,80838,0,RENT,30000,MEDICAL,12.69,0.37,3,645,No,1
50,26,male,Master,107957,2,RENT,30000,DEBTCONSOLIDATION,6.62,0.28,3,654,No,1
51,24,female,Bachelor,94649,2,RENT,30000,DEBTCONSOLIDATION,11.01,0.32,4,624,No,1
52,23,male,High School,94550,1,RENT,30000,DEBTCONSOLIDATION,18.62,0.32,3,570,No,1
53,23,male,Bachelor,111153,3,RENT,30000,PERSONAL,15.23,0.27,3,648,No,1
54,23,female,Associate,117250,0,RENT,30000,VENTURE,10.65,0.26,2,652,No,1
55,25,male,Bachelor,144985,3,RENT,30000,EDUCATION,7.9,0.21,4,559,No,0
56,26,male,High School,337133,7,RENT,10000,PERSONAL,15.96,0.03,3,623,Yes,0
57,26,male,Associate,333566,2,RENT,20000,VENTURE,11.48,0.06,3,602,Yes,0
58,23,male,Bachelor,333399,1,OWN,35000,PERSONAL,11.01,0.1,4,609,No,0
59,25,male,Master,154793,1,RENT,30000,PERSONAL,7.29,0.19,4,573,Yes,0
60,24,male,Associate,15229,1,OWN,1750,VENTURE,11.01,0.11,3,631,Yes,0
61,21,female,Bachelor,158338,0,RENT,30000,VENTURE,5.99,0.19,4,623,Yes,0
62,22,female,Bachelor,331034,0,OWN,12000,VENTURE,11.58,0.04,2,602,Yes,0
63,26,female,High School,316466,6,MORTGAGE,10000,EDUCATION,11.01,0.03,4,579,No,1
64,25,female,Associate,267671,0,MORTGAGE,25000,MEDICAL,15.7,0.09,2,582,No,1
65,22,male,Master,85191,0,RENT,29100,EDUCATION,15.99,0.34,3,700,No,1
66,22,male,Associate,15013,0,MORTGAGE,1500,EDUCATION,14.84,0.1,3,688,No,0
67,26,male,Bachelor,313100,3,OWN,28000,HOMEIMPROVEMENT,10.99,0.09,3,607,Yes,0
68,25,female,Bachelor,311952,0,MORTGAGE,20000,HOMEIMPROVEMENT,14.42,0.06,2,661,Yes,0
69,24,male,High School,306897,5,MORTGAGE,9600,EDUCATION,6.99,0.03,2,562,Yes,0
70,25,female,Bachelor,301136,0,RENT,25000,MEDICAL,13.49,0.08,4,664,Yes,0
71,25,male,High School,15162,1,OWN,3000,MEDICAL,11.01,0.2,3,564,No,1
72,22,male,Associate,69042,0,RENT,28000,MEDICAL,11.01,0.41,2,598,No,1
73,21,female,High School,15307,0,OWN,3000,EDUCATION,13.61,0.2,3,557,No,1
74,23,female,Associate,79183,0,RENT,28000,EDUCATION,7.9,0.35,2,677,No,1
75,26,male,Bachelor,102654,4,RENT,28000,VENTURE,7.49,0.27,3,690,No,1
76,26,male,Associate,15229,1,OWN,6100,EDUCATION,7.51,0.4,3,599,No,1
77,22,male,High School,106566,0,RENT,28000,VENTURE,9.91,0.26,3,604,No,1
78,21,female,Bachelor,15252,0,OWN,4200,PERSONAL,13.48,0.28,4,663,No,1
79,22,male,Bachelor,15432,3,OWN,4750,DEBTCONSOLIDATION,7.14,0.31,2,601,No,1
80,24,male,High School,100332,1,RENT,28000,VENTURE,15.99,0.28,4,634,No,1
81,24,male,Bachelor,300951,2,RENT,18000,EDUCATION,12.98,0.06,3,671,No,0
82,144,male,Bachelor,300616,125,RENT,4800,VENTURE,13.57,0.02,3,789,No,0
83,25,female,Bachelor,121062,1,RENT,28000,DEBTCONSOLIDATION,12.69,0.23,3,622,No,0
84,26,male,Associate,133372,1,RENT,28000,EDUCATION,8.9,0.21,2,538,Yes,0
85,26,male,Bachelor,15505,0,OWN,2700,DEBTCONSOLIDATION,11.01,0.17,4,587,No,1
86,22,male,Master,130852,0,RENT,28000,EDUCATION,11.01,0.21,4,683,No,1
87,23,male,Associate,182316,0,RENT,28000,DEBTCONSOLIDATION,11.11,0.15,2,634,Yes,0
88,24,female,Bachelor,83853,3,RENT,27600,HOMEIMPROVEMENT,11.01,0.33,2,690,No,1
89,21,female,Bachelor,15394,0,MORTGAGE,3250,DEBTCONSOLIDATION,15.68,0.21,3,518,No,1
90,22,female,Bachelor,85243,0,RENT,27500,EDUCATION,13.06,0.32,3,583,No,1
91,22,male,Associate,288907,2,OWN,25000,PERSONAL,11.01,0.09,2,617,Yes,0
92,26,male,Associate,89074,4,RENT,27050,VENTURE,15.62,0.3,2,668,No,1
93,24,male,Master,100509,2,RENT,27000,PERSONAL,13.49,0.27,2,673,No,1
94,24,male,High School,88950,3,RENT,27000,VENTURE,11.01,0.3,3,706,No,1
95,23,female,High School,75894,1,RENT,26000,MEDICAL,11.71,0.34,2,536,No,1
96,23,male,Associate,145092,0,RENT,25600,EDUCATION,12.69,0.18,3,557,Yes,0
97,24,female,Bachelor,15928,1,OWN,1600,MEDICAL,13.57,0.1,3,689,Yes,0
98,22,male,Bachelor,73131,3,RENT,25475,VENTURE,10.99,0.35,3,681,No,1
99,25,male,Master,281501,4,MORTGAGE,20000,MEDICAL,14.27,0.07,4,623,Yes,0
100,24,female,Associate,281775,0,OWN,20000,HOMEIMPROVEMENT,8.88,0.07,4,595,Yes,0
101,26,male,Bachelor,281792,1,MORTGAGE,21600,HOMEIMPROVEMENT,12.18,0.08,3,584,Yes,0
102,25,male,Bachelor,266090,4,MORTGAGE,11900,DEBTCONSOLIDATION,14.42,0.04,3,669,No,1
103,26,male,High School,279664,3,MORTGAGE,25000,MEDICAL,14.17,0.09,2,642,Yes,0
104,25,female,High School,277017,4,MORTGAGE,35000,MEDICAL,13.99,0.13,4,622,Yes,0
105,23,male,Associate,100756,0,RENT,25300,EDUCATION,10.99,0.25,3,689,No,1
106,22,male,High School,16218,1,MORTGAGE,2000,PERSONAL,5.42,0.12,4,614,No,1
107,25,female,Bachelor,16211,2,OWN,1750,PERSONAL,13.61,0.11,3,597,Yes,0
108,21,female,Bachelor,51922,3,RENT,25000,EDUCATION,12.73,0.48,3,673,No,1
109,24,male,Associate,50309,3,RENT,25000,HOMEIMPROVEMENT,11.01,0.5,3,625,No,1
110,25,male,High School,16378,0,OWN,3000,DEBTCONSOLIDATION,12.87,0.18,4,603,No,1
111,24,male,Bachelor,16572,0,MORTGAGE,3650,HOMEIMPROVEMENT,9.91,0.22,3,589,No,1
112,26,male,Master,272201,5,MORTGAGE,20000,HOMEIMPROVEMENT,11.49,0.07,4,670,Yes,0
113,25,female,Bachelor,271324,3,MORTGAGE,30000,HOMEIMPROVEMENT,19.91,0.11,2,637,Yes,0
114,26,male,Associate,256862,2,MORTGAGE,35000,EDUCATION,10.65,0.14,2,643,No,1
115,24,male,High School,271342,0,RENT,6000,MEDICAL,11.01,0.02,4,508,Yes,0
116,24,male,High School,16470,2,MORTGAGE,4500,DEBTCONSOLIDATION,11.83,0.27,4,643,No,1
117,23,male,High School,16599,0,OWN,2400,DEBTCONSOLIDATION,13.49,0.14,2,505,No,1
118,22,male,Bachelor,51608,0,RENT,25000,MEDICAL,14.59,0.48,2,593,No,1
119,26,female,Master,58516,6,RENT,25000,EDUCATION,9.64,0.43,4,686,No,1
120,25,female,Associate,16395,4,OWN,3600,MEDICAL,14.59,0.22,3,646,No,1
121,22,female,Bachelor,16890,0,OWN,4750,EDUCATION,11.01,0.28,3,645,No,1
122,25,female,Associate,51747,3,RENT,25000,EDUCATION,16.35,0.48,3,697,No,1
123,21,male,High School,59864,0,RENT,25000,EDUCATION,10.99,0.42,2,648,No,1
124,25,male,Master,270972,1,MORTGAGE,25000,VENTURE,18.67,0.09,2,640,Yes,0
125,26,male,Bachelor,270870,5,RENT,3000,EDUCATION,9.32,0.01,4,681,No,0
126,23,female,Associate,270729,0,RENT,7500,DEBTCONSOLIDATION,8.63,0.03,2,646,No,0
127,26,male,Bachelor,270877,4,MORTGAGE,25000,VENTURE,10.08,0.09,2,615,Yes,0
128,22,male,Associate,60501,0,RENT,25000,PERSONAL,11.83,0.41,3,687,No,1
129,23,male,High School,60754,1,RENT,25000,DEBTCONSOLIDATION,7.9,0.41,3,650,No,1
130,25,male,Bachelor,60829,0,RENT,25000,HOMEIMPROVEMENT,5.99,0.41,2,588,No,1
131,24,male,Bachelor,53825,2,RENT,25000,DEBTCONSOLIDATION,15.33,0.46,2,652,No,1
132,23,male,High School,60801,0,RENT,25000,VENTURE,11.83,0.41,4,658,No,1
133,22,male,High School,60747,0,RENT,25000,VENTURE,10.36,0.41,2,634,No,1
134,22,female,High School,61029,0,RENT,25000,VENTURE,12.23,0.41,3,623,No,1
135,22,female,Associate,63236,0,RENT,25000,EDUCATION,11.11,0.4,4,635,No,1
